[I 230118 03:45:57 policy_utils:47] {
      "env": "KuaiEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "A2C_with_emb",
      "seed": 0,
      "cuda": 6,
      "is_userinfo": false,
      "cpu": false,
      "is_save": false,
      "use_userEmbedding": false,
      "exploration_noise": false,
      "eps": 0.1,
      "freeze_emb": false,
      "reward_handle": "cat",
      "which_tracker": "avg",
      "embedding_dim": 32,
      "window_size": 3,
      "filter_sizes": [
        2,
        3,
        4
      ],
      "num_filters": 16,
      "dropout_rate": 0.1,
      "num_heads": 1,
      "version": "v1",
      "tau": 0,
      "gamma_exposure": 10,
      "lambda_variance": 0.05,
      "lambda_entropy": 0.0,
      "use_exposure_intervention": false,
      "buffer_size": 100000,
      "lr": 0.001,
      "epoch": 200,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "reward_threshold": null,
      "gamma": 0.9,
      "step_per_epoch": 100000,
      "repeat_per_collect": 1,
      "logdir": "log",
      "vf_coef": 0.5,
      "ent_coef": 0.0,
      "max_grad_norm": null,
      "gae_lambda": 1.0,
      "rew_norm": false,
      "read_message": "pointneg",
      "message": "MOPO-leave6",
      "is_binarize": false,
      "need_transform": true,
      "entropy_window": [
        1,
        2
      ],
      "yfeat": "watch_ratio_normed",
      "leave_threshold": 0.0,
      "num_leave_compute": 6,
      "max_turn": 30,
      "force_length": 10,
      "top_rate": 0.8,
      "hostname": "LDS-5"
    }
[I 230118 03:46:54 utils:138] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.15419', 'CV_turn': '0.87842', 'ctr': '0.88807', 'len_tra': 5.84, 'R_tra': 5.186350303584451, 'ifeat_feat': 0.6763698630136986, 'NX_0_CV': '0.14067', 'NX_0_CV_turn': '0.87313', 'NX_0_ctr': '0.83540', 'NX_0_len_tra': 5.36, 'NX_0_R_tra': 4.477751972997796, 'NX_0_ifeat_feat': 0.7350746268656716, 'NX_10_CV': '0.25428', 'NX_10_CV_turn': '0.84600', 'NX_10_ctr': '0.80669', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.066908386612278, 'NX_10_ifeat_feat': 0.715}]
[I 230118 03:47:18 utils:138] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.12684', 'CV_turn': '0.52882', 'ctr': '0.72176', 'len_tra': 7.98, 'R_tra': 5.759641257477604, 'ifeat_feat': 0.39598997493734334, 'NX_0_CV': '0.14277', 'NX_0_CV_turn': '0.53191', 'NX_0_ctr': '0.74474', 'NX_0_len_tra': 8.93, 'NX_0_R_tra': 6.650539827580401, 'NX_0_ifeat_feat': 0.4311310190369541, 'NX_10_CV': '0.15419', 'NX_10_CV_turn': '0.51300', 'NX_10_ctr': '0.74686', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.4685938308344, 'NX_10_ifeat_feat': 0.442}]
[I 230118 03:47:44 utils:138] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.11362', 'CV_turn': '0.46267', 'ctr': '0.72666', 'len_tra': 8.17, 'R_tra': 5.936790835478529, 'ifeat_feat': 0.3990208078335373, 'NX_0_CV': '0.12143', 'NX_0_CV_turn': '0.41224', 'NX_0_ctr': '0.75145', 'NX_0_len_tra': 9.8, 'NX_0_R_tra': 7.364182916849618, 'NX_0_ifeat_feat': 0.38571428571428573, 'NX_10_CV': '0.12143', 'NX_10_CV_turn': '0.40400', 'NX_10_ctr': '0.73561', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.356122068832155, 'NX_10_ifeat_feat': 0.414}]
[I 230118 03:48:14 utils:138] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.10219', 'CV_turn': '0.39171', 'ctr': '0.72264', 'len_tra': 8.68, 'R_tra': 6.2724912180978345, 'ifeat_feat': 0.3859447004608295, 'NX_0_CV': '0.10370', 'NX_0_CV_turn': '0.37788', 'NX_0_ctr': '0.72626', 'NX_0_len_tra': 9.13, 'NX_0_R_tra': 6.630764001391459, 'NX_0_ifeat_feat': 0.41073384446878425, 'NX_10_CV': '0.11392', 'NX_10_CV_turn': '0.37900', 'NX_10_ctr': '0.71505', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.150453701602327, 'NX_10_ifeat_feat': 0.397}]
[I 230118 03:48:45 utils:138] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.09468', 'CV_turn': '0.37234', 'ctr': '0.65774', 'len_tra': 8.46, 'R_tra': 5.564459565424779, 'ifeat_feat': 0.3806146572104019, 'NX_0_CV': '0.10730', 'NX_0_CV_turn': '0.36540', 'NX_0_ctr': '0.73437', 'NX_0_len_tra': 9.77, 'NX_0_R_tra': 7.174817394193741, 'NX_0_ifeat_feat': 0.4124872057318321, 'NX_10_CV': '0.10911', 'NX_10_CV_turn': '0.36300', 'NX_10_ctr': '0.72970', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.297004688285207, 'NX_10_ifeat_feat': 0.416}]
[I 230118 03:49:16 utils:138] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.06913', 'CV_turn': '0.28894', 'ctr': '0.67992', 'len_tra': 7.96, 'R_tra': 5.4121263894173595, 'ifeat_feat': 0.36180904522613067, 'NX_0_CV': '0.09137', 'NX_0_CV_turn': '0.28174', 'NX_0_ctr': '0.71140', 'NX_0_len_tra': 10.79, 'NX_0_R_tra': 7.675973236079353, 'NX_0_ifeat_feat': 0.41241890639481, 'NX_10_CV': '0.09107', 'NX_10_CV_turn': '0.30300', 'NX_10_ctr': '0.70147', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.0147146985905, 'NX_10_ifeat_feat': 0.401}]
[I 230118 03:49:46 utils:138] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.07154', 'CV_turn': '0.27076', 'ctr': '0.68641', 'len_tra': 8.79, 'R_tra': 6.033545141511925, 'ifeat_feat': 0.378839590443686, 'NX_0_CV': '0.08777', 'NX_0_CV_turn': '0.25592', 'NX_0_ctr': '0.72287', 'NX_0_len_tra': 11.41, 'NX_0_R_tra': 8.247945638950652, 'NX_0_ifeat_feat': 0.38475021910604734, 'NX_10_CV': '0.08416', 'NX_10_CV_turn': '0.28000', 'NX_10_ctr': '0.71168', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.116816416574072, 'NX_10_ifeat_feat': 0.395}]
[I 230118 03:50:18 utils:138] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.06943', 'CV_turn': '0.26644', 'ctr': '0.69218', 'len_tra': 8.67, 'R_tra': 6.001233464253341, 'ifeat_feat': 0.4083044982698962, 'NX_0_CV': '0.08206', 'NX_0_CV_turn': '0.25000', 'NX_0_ctr': '0.71524', 'NX_0_len_tra': 10.92, 'NX_0_R_tra': 7.810371710487343, 'NX_0_ifeat_feat': 0.38186813186813184, 'NX_10_CV': '0.07965', 'NX_10_CV_turn': '0.26500', 'NX_10_ctr': '0.67453', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 6.745317974196574, 'NX_10_ifeat_feat': 0.383}]
[I 230118 03:50:50 utils:138] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.07484', 'CV_turn': '0.25538', 'ctr': '0.68079', 'len_tra': 9.75, 'R_tra': 6.6376997423334805, 'ifeat_feat': 0.39897435897435896, 'NX_0_CV': '0.08356', 'NX_0_CV_turn': '0.25342', 'NX_0_ctr': '0.68170', 'NX_0_len_tra': 10.97, 'NX_0_R_tra': 7.478235285999114, 'NX_0_ifeat_feat': 0.3892433910665451, 'NX_10_CV': '0.08085', 'NX_10_CV_turn': '0.26900', 'NX_10_ctr': '0.70537', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.053733207093134, 'NX_10_ifeat_feat': 0.401}]
[I 230118 03:51:22 utils:138] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.06162', 'CV_turn': '0.23243', 'ctr': '0.62794', 'len_tra': 8.82, 'R_tra': 5.538428984785934, 'ifeat_feat': 0.40589569160997735, 'NX_0_CV': '0.08145', 'NX_0_CV_turn': '0.25375', 'NX_0_ctr': '0.65759', 'NX_0_len_tra': 10.68, 'NX_0_R_tra': 7.0230186830837456, 'NX_0_ifeat_feat': 0.42134831460674155, 'NX_10_CV': '0.06973', 'NX_10_CV_turn': '0.23200', 'NX_10_ctr': '0.64166', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 6.416636576975455, 'NX_10_ifeat_feat': 0.402}]
[I 230118 03:51:53 utils:138] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.05981', 'CV_turn': '0.21352', 'ctr': '0.64935', 'len_tra': 9.32, 'R_tra': 6.051962537934531, 'ifeat_feat': 0.3605150214592275, 'NX_0_CV': '0.07424', 'NX_0_CV_turn': '0.22333', 'NX_0_ctr': '0.62347', 'NX_0_len_tra': 11.06, 'NX_0_R_tra': 6.89561341834814, 'NX_0_ifeat_feat': 0.40867992766726946, 'NX_10_CV': '0.06733', 'NX_10_CV_turn': '0.22400', 'NX_10_ctr': '0.63647', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 6.364744237805097, 'NX_10_ifeat_feat': 0.4}]
[I 230118 03:52:24 utils:138] Epoch: [12], Info: [{'num_test': 100, 'CV': '0.05410', 'CV_turn': '0.20690', 'ctr': '0.65483', 'len_tra': 8.7, 'R_tra': 5.696985613274902, 'ifeat_feat': 0.4114942528735632, 'NX_0_CV': '0.07484', 'NX_0_CV_turn': '0.22114', 'NX_0_ctr': '0.67914', 'NX_0_len_tra': 11.26, 'NX_0_R_tra': 7.647105269191644, 'NX_0_ifeat_feat': 0.37211367673179396, 'NX_10_CV': '0.06583', 'NX_10_CV_turn': '0.21900', 'NX_10_ctr': '0.65137', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 6.51370512971676, 'NX_10_ifeat_feat': 0.358}]
[I 230118 03:52:55 utils:138] Epoch: [13], Info: [{'num_test': 100, 'CV': '0.05891', 'CV_turn': '0.20000', 'ctr': '0.63456', 'len_tra': 9.8, 'R_tra': 6.218718895678902, 'ifeat_feat': 0.3846938775510204, 'NX_0_CV': '0.06643', 'NX_0_CV_turn': '0.19892', 'NX_0_ctr': '0.63997', 'NX_0_len_tra': 11.11, 'NX_0_R_tra': 7.110115571726279, 'NX_0_ifeat_feat': 0.387038703870387, 'NX_10_CV': '0.06222', 'NX_10_CV_turn': '0.20700', 'NX_10_ctr': '0.63786', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 6.378616397037583, 'NX_10_ifeat_feat': 0.397}]
[I 230118 03:53:26 utils:138] Epoch: [14], Info: [{'num_test': 100, 'CV': '0.05110', 'CV_turn': '0.18066', 'ctr': '0.62897', 'len_tra': 9.41, 'R_tra': 5.918627859106143, 'ifeat_feat': 0.3645058448459086, 'NX_0_CV': '0.06102', 'NX_0_CV_turn': '0.17016', 'NX_0_ctr': '0.61599', 'NX_0_len_tra': 11.93, 'NX_0_R_tra': 7.34878027338665, 'NX_0_ifeat_feat': 0.3671416596814753, 'NX_10_CV': '0.05621', 'NX_10_CV_turn': '0.18700', 'NX_10_ctr': '0.60992', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 6.099198640884229, 'NX_10_ifeat_feat': 0.396}]
