[I 230117 19:55:05 policy_utils:47] {
      "env": "KuaiEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "A2C_with_emb",
      "seed": 0,
      "cuda": 2,
      "is_userinfo": false,
      "cpu": false,
      "is_save": false,
      "use_userEmbedding": false,
      "exploration_noise": false,
      "eps": 0.1,
      "freeze_emb": false,
      "reward_handle": "cat",
      "which_tracker": "avg",
      "embedding_dim": 32,
      "window_size": 3,
      "filter_sizes": [
        2,
        3,
        4
      ],
      "num_filters": 16,
      "dropout_rate": 0.1,
      "num_heads": 1,
      "version": "v1",
      "tau": 0,
      "gamma_exposure": 10,
      "lambda_variance": 0.0,
      "lambda_entropy": 0.0,
      "use_exposure_intervention": false,
      "buffer_size": 100000,
      "lr": 0.001,
      "epoch": 200,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "reward_threshold": null,
      "gamma": 0.9,
      "step_per_epoch": 100000,
      "repeat_per_collect": 1,
      "logdir": "log",
      "vf_coef": 0.5,
      "ent_coef": 0.0,
      "max_grad_norm": null,
      "gae_lambda": 1.0,
      "rew_norm": false,
      "read_message": "pointneg",
      "message": "MBPO-leave8",
      "is_binarize": false,
      "need_transform": true,
      "entropy_window": [
        1,
        2
      ],
      "yfeat": "watch_ratio_normed",
      "leave_threshold": 0.0,
      "num_leave_compute": 8,
      "max_turn": 30,
      "force_length": 10,
      "top_rate": 0.8,
      "hostname": "LDS-10"
    }
[I 230117 19:56:03 utils:138] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.14337', 'CV_turn': '0.91379', 'ctr': '0.84065', 'len_tra': 5.22, 'R_tra': 4.388186041858958, 'ifeat_feat': 0.7432950191570882, 'NX_0_CV': '0.13496', 'NX_0_CV_turn': '0.91633', 'NX_0_ctr': '0.82768', 'NX_0_len_tra': 4.9, 'NX_0_R_tra': 4.0556371515134, 'NX_0_ifeat_feat': 0.7163265306122449, 'NX_10_CV': '0.25699', 'NX_10_CV_turn': '0.85500', 'NX_10_ctr': '0.88950', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.895010801915127, 'NX_10_ifeat_feat': 0.77}]
[I 230117 19:56:28 utils:138] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.12414', 'CV_turn': '0.48531', 'ctr': '0.81274', 'len_tra': 8.51, 'R_tra': 6.916376008851899, 'ifeat_feat': 0.38777908343125733, 'NX_0_CV': '0.11362', 'NX_0_CV_turn': '0.47015', 'NX_0_ctr': '0.74173', 'NX_0_len_tra': 8.04, 'NX_0_R_tra': 5.963515498452567, 'NX_0_ifeat_feat': 0.3718905472636816, 'NX_10_CV': '0.14968', 'NX_10_CV_turn': '0.49800', 'NX_10_ctr': '0.76764', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.676401554967315, 'NX_10_ifeat_feat': 0.422}]
[I 230117 19:56:52 utils:138] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.11392', 'CV_turn': '0.41196', 'ctr': '0.78536', 'len_tra': 9.2, 'R_tra': 7.2253180330670626, 'ifeat_feat': 0.4358695652173913, 'NX_0_CV': '0.11301', 'NX_0_CV_turn': '0.42727', 'NX_0_ctr': '0.80785', 'NX_0_len_tra': 8.8, 'NX_0_R_tra': 7.109053490953246, 'NX_0_ifeat_feat': 0.46136363636363636, 'NX_10_CV': '0.13165', 'NX_10_CV_turn': '0.43800', 'NX_10_ctr': '0.82593', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.259329482794499, 'NX_10_ifeat_feat': 0.433}]
[I 230117 19:57:15 utils:138] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.08837', 'CV_turn': '0.36118', 'ctr': '0.79711', 'len_tra': 8.14, 'R_tra': 6.488459241367531, 'ifeat_feat': 0.40417690417690416, 'NX_0_CV': '0.09498', 'NX_0_CV_turn': '0.33689', 'NX_0_ctr': '0.76808', 'NX_0_len_tra': 9.38, 'NX_0_R_tra': 7.204561307294181, 'NX_0_ifeat_feat': 0.39232409381663114, 'NX_10_CV': '0.10490', 'NX_10_CV_turn': '0.34900', 'NX_10_ctr': '0.81146', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.11457703083688, 'NX_10_ifeat_feat': 0.397}]
[I 230117 19:57:38 utils:138] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.09258', 'CV_turn': '0.36975', 'ctr': '0.77248', 'len_tra': 8.33, 'R_tra': 6.43473475845078, 'ifeat_feat': 0.3985594237695078, 'NX_0_CV': '0.10911', 'NX_0_CV_turn': '0.36704', 'NX_0_ctr': '0.79501', 'NX_0_len_tra': 9.89, 'NX_0_R_tra': 7.8626611240692785, 'NX_0_ifeat_feat': 0.41759352881698686, 'NX_10_CV': '0.10821', 'NX_10_CV_turn': '0.36000', 'NX_10_ctr': '0.76927', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.692671590328133, 'NX_10_ifeat_feat': 0.395}]
[I 230117 19:58:02 utils:138] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.09167', 'CV_turn': '0.36009', 'ctr': '0.71765', 'len_tra': 8.47, 'R_tra': 6.078521935470734, 'ifeat_feat': 0.38016528925619836, 'NX_0_CV': '0.10009', 'NX_0_CV_turn': '0.33980', 'NX_0_ctr': '0.78308', 'NX_0_len_tra': 9.8, 'NX_0_R_tra': 7.674171768272281, 'NX_0_ifeat_feat': 0.3877551020408163, 'NX_10_CV': '0.09167', 'NX_10_CV_turn': '0.30500', 'NX_10_ctr': '0.76604', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.660419471613946, 'NX_10_ifeat_feat': 0.399}]
[I 230117 19:58:27 utils:138] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.08055', 'CV_turn': '0.29099', 'ctr': '0.74435', 'len_tra': 9.21, 'R_tra': 6.855487296424858, 'ifeat_feat': 0.3539630836047774, 'NX_0_CV': '0.09829', 'NX_0_CV_turn': '0.31871', 'NX_0_ctr': '0.77655', 'NX_0_len_tra': 10.26, 'NX_0_R_tra': 7.967412399354688, 'NX_0_ifeat_feat': 0.41325536062378165, 'NX_10_CV': '0.09288', 'NX_10_CV_turn': '0.30900', 'NX_10_ctr': '0.76898', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.689791805291453, 'NX_10_ifeat_feat': 0.394}]
[I 230117 19:59:01 utils:138] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.08145', 'CV_turn': '0.31439', 'ctr': '0.77443', 'len_tra': 8.62, 'R_tra': 6.675551841694292, 'ifeat_feat': 0.3851508120649652, 'NX_0_CV': '0.10670', 'NX_0_CV_turn': '0.31500', 'NX_0_ctr': '0.80414', 'NX_0_len_tra': 11.27, 'NX_0_R_tra': 9.062708648562909, 'NX_0_ifeat_feat': 0.3930789707187223, 'NX_10_CV': '0.09017', 'NX_10_CV_turn': '0.30000', 'NX_10_ctr': '0.77407', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.740713183848795, 'NX_10_ifeat_feat': 0.384}]
[I 230117 19:59:37 utils:138] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.08807', 'CV_turn': '0.30426', 'ctr': '0.73795', 'len_tra': 9.63, 'R_tra': 7.106467733814165, 'ifeat_feat': 0.363447559709242, 'NX_0_CV': '0.09919', 'NX_0_CV_turn': '0.30275', 'NX_0_ctr': '0.75141', 'NX_0_len_tra': 10.9, 'NX_0_R_tra': 8.190340301154306, 'NX_0_ifeat_feat': 0.38440366972477064, 'NX_10_CV': '0.09438', 'NX_10_CV_turn': '0.31400', 'NX_10_ctr': '0.75971', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.597114352166491, 'NX_10_ifeat_feat': 0.359}]
[I 230117 20:00:11 utils:138] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.08296', 'CV_turn': '0.29967', 'ctr': '0.73557', 'len_tra': 9.21, 'R_tra': 6.774624189903587, 'ifeat_feat': 0.3735070575461455, 'NX_0_CV': '0.08957', 'NX_0_CV_turn': '0.29563', 'NX_0_ctr': '0.78465', 'NX_0_len_tra': 10.08, 'NX_0_R_tra': 7.909256653804873, 'NX_0_ifeat_feat': 0.38591269841269843, 'NX_10_CV': '0.09107', 'NX_10_CV_turn': '0.30300', 'NX_10_ctr': '0.77976', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.797609965137463, 'NX_10_ifeat_feat': 0.375}]
[I 230117 20:00:46 utils:138] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.08206', 'CV_turn': '0.30233', 'ctr': '0.74123', 'len_tra': 9.03, 'R_tra': 6.693350577032964, 'ifeat_feat': 0.36212624584717606, 'NX_0_CV': '0.09769', 'NX_0_CV_turn': '0.30037', 'NX_0_ctr': '0.73621', 'NX_0_len_tra': 10.82, 'NX_0_R_tra': 7.965818075430967, 'NX_0_ifeat_feat': 0.38632162661737524, 'NX_10_CV': '0.09137', 'NX_10_CV_turn': '0.30400', 'NX_10_ctr': '0.73843', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.384270959903389, 'NX_10_ifeat_feat': 0.38}]
[I 230117 20:01:19 utils:138] Epoch: [12], Info: [{'num_test': 100, 'CV': '0.09197', 'CV_turn': '0.30029', 'ctr': '0.70308', 'len_tra': 10.19, 'R_tra': 7.164415876189595, 'ifeat_feat': 0.3464180569185476, 'NX_0_CV': '0.09829', 'NX_0_CV_turn': '0.29539', 'NX_0_ctr': '0.72500', 'NX_0_len_tra': 11.07, 'NX_0_R_tra': 8.025762405947168, 'NX_0_ifeat_feat': 0.3712737127371274, 'NX_10_CV': '0.09258', 'NX_10_CV_turn': '0.30800', 'NX_10_ctr': '0.75793', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.579324430179091, 'NX_10_ifeat_feat': 0.363}]
[I 230117 20:01:51 utils:138] Epoch: [13], Info: [{'num_test': 100, 'CV': '0.07093', 'CV_turn': '0.23911', 'ctr': '0.72872', 'len_tra': 9.87, 'R_tra': 7.19243879451434, 'ifeat_feat': 0.3363728470111449, 'NX_0_CV': '0.08687', 'NX_0_CV_turn': '0.24575', 'NX_0_ctr': '0.73442', 'NX_0_len_tra': 11.76, 'NX_0_R_tra': 8.636733299282556, 'NX_0_ifeat_feat': 0.352891156462585, 'NX_10_CV': '0.07845', 'NX_10_CV_turn': '0.26100', 'NX_10_ctr': '0.71578', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.15777156513282, 'NX_10_ifeat_feat': 0.336}]
[I 230117 20:02:25 utils:138] Epoch: [14], Info: [{'num_test': 100, 'CV': '0.06943', 'CV_turn': '0.24290', 'ctr': '0.65607', 'len_tra': 9.51, 'R_tra': 6.239251026117792, 'ifeat_feat': 0.3459516298633018, 'NX_0_CV': '0.07244', 'NX_0_CV_turn': '0.21731', 'NX_0_ctr': '0.72892', 'NX_0_len_tra': 11.09, 'NX_0_R_tra': 8.083668241883297, 'NX_0_ifeat_feat': 0.3651938683498647, 'NX_10_CV': '0.06703', 'NX_10_CV_turn': '0.22300', 'NX_10_ctr': '0.67852', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 6.785191063905405, 'NX_10_ifeat_feat': 0.337}]
[I 230117 20:02:59 utils:138] Epoch: [15], Info: [{'num_test': 100, 'CV': '0.07003', 'CV_turn': '0.21317', 'ctr': '0.70348', 'len_tra': 10.93, 'R_tra': 7.689007137772588, 'ifeat_feat': 0.3202195791399817, 'NX_0_CV': '0.07875', 'NX_0_CV_turn': '0.20015', 'NX_0_ctr': '0.69844', 'NX_0_len_tra': 13.09, 'NX_0_R_tra': 9.142556823878195, 'NX_0_ifeat_feat': 0.3414820473644003, 'NX_10_CV': '0.06372', 'NX_10_CV_turn': '0.21200', 'NX_10_ctr': '0.67598', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 6.759779451167054, 'NX_10_ifeat_feat': 0.312}]
[I 230117 20:03:33 utils:138] Epoch: [16], Info: [{'num_test': 100, 'CV': '0.06883', 'CV_turn': '0.21583', 'ctr': '0.64923', 'len_tra': 10.61, 'R_tra': 6.8883369760205735, 'ifeat_feat': 0.31196983977379833, 'NX_0_CV': '0.08236', 'NX_0_CV_turn': '0.23280', 'NX_0_ctr': '0.68527', 'NX_0_len_tra': 11.77, 'NX_0_R_tra': 8.065629379843053, 'NX_0_ifeat_feat': 0.3466440101954121, 'NX_10_CV': '0.07244', 'NX_10_CV_turn': '0.24100', 'NX_10_ctr': '0.66046', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 6.60458272868512, 'NX_10_ifeat_feat': 0.323}]
[I 230117 20:04:06 utils:138] Epoch: [17], Info: [{'num_test': 100, 'CV': '0.06402', 'CV_turn': '0.19381', 'ctr': '0.59859', 'len_tra': 10.99, 'R_tra': 6.57854653335322, 'ifeat_feat': 0.28662420382165604, 'NX_0_CV': '0.07635', 'NX_0_CV_turn': '0.19199', 'NX_0_ctr': '0.70596', 'NX_0_len_tra': 13.23, 'NX_0_R_tra': 9.339839806318697, 'NX_0_ifeat_feat': 0.3333333333333333, 'NX_10_CV': '0.06192', 'NX_10_CV_turn': '0.20600', 'NX_10_ctr': '0.67096', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 6.709646883710031, 'NX_10_ifeat_feat': 0.299}]
[I 230117 20:04:40 utils:138] Epoch: [18], Info: [{'num_test': 100, 'CV': '0.06252', 'CV_turn': '0.19753', 'ctr': '0.65239', 'len_tra': 10.53, 'R_tra': 6.8696585204811935, 'ifeat_feat': 0.29534662867996203, 'NX_0_CV': '0.07725', 'NX_0_CV_turn': '0.20544', 'NX_0_ctr': '0.65164', 'NX_0_len_tra': 12.51, 'NX_0_R_tra': 8.15201985848369, 'NX_0_ifeat_feat': 0.3261390887290168, 'NX_10_CV': '0.06312', 'NX_10_CV_turn': '0.21000', 'NX_10_ctr': '0.63850', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 6.385034769045415, 'NX_10_ifeat_feat': 0.302}]
