[I 230117 18:57:27 policy_utils:47] {
      "env": "KuaiEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "A2C_with_emb",
      "seed": 0,
      "cuda": 7,
      "is_userinfo": false,
      "cpu": false,
      "is_save": false,
      "use_userEmbedding": false,
      "exploration_noise": false,
      "eps": 0.1,
      "freeze_emb": false,
      "reward_handle": "cat",
      "which_tracker": "avg",
      "embedding_dim": 32,
      "window_size": 3,
      "filter_sizes": [
        2,
        3,
        4
      ],
      "num_filters": 16,
      "dropout_rate": 0.1,
      "num_heads": 1,
      "version": "v1",
      "tau": 0,
      "gamma_exposure": 10,
      "lambda_variance": 0.05,
      "lambda_entropy": 5.0,
      "use_exposure_intervention": false,
      "buffer_size": 100000,
      "lr": 0.001,
      "epoch": 200,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "reward_threshold": null,
      "gamma": 0.9,
      "step_per_epoch": 100000,
      "repeat_per_collect": 1,
      "logdir": "log",
      "vf_coef": 0.5,
      "ent_coef": 0.0,
      "max_grad_norm": null,
      "gae_lambda": 1.0,
      "rew_norm": false,
      "read_message": "pointneg",
      "message": "Ours-leave1",
      "is_binarize": false,
      "need_transform": true,
      "entropy_window": [
        1,
        2
      ],
      "yfeat": "watch_ratio_normed",
      "leave_threshold": 0.0,
      "num_leave_compute": 1,
      "max_turn": 30,
      "force_length": 10,
      "top_rate": 0.8,
      "hostname": "LDS-12"
    }
[I 230117 18:58:32 utils:138] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.02375', 'CV_turn': '0.04697', 'ctr': '1.03553', 'len_tra': 16.82, 'R_tra': 17.41755512550835, 'ifeat_feat': 0.44530321046373367, 'NX_0_CV': '0.04418', 'NX_0_CV_turn': '0.06507', 'NX_0_ctr': '0.90777', 'NX_0_len_tra': 22.59, 'NX_0_R_tra': 20.506517357837218, 'NX_0_ifeat_feat': 0.4957945993802568, 'NX_10_CV': '0.02344', 'NX_10_CV_turn': '0.07800', 'NX_10_ctr': '0.95982', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.598150566298468, 'NX_10_ifeat_feat': 0.463}]
[I 230117 18:58:56 utils:138] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.01984', 'CV_turn': '0.04185', 'ctr': '0.84404', 'len_tra': 15.77, 'R_tra': 13.310513355623405, 'ifeat_feat': 0.4413443246670894, 'NX_0_CV': '0.02976', 'NX_0_CV_turn': '0.04116', 'NX_0_ctr': '0.82036', 'NX_0_len_tra': 24.05, 'NX_0_R_tra': 19.729739970278168, 'NX_0_ifeat_feat': 0.4885654885654886, 'NX_10_CV': '0.01773', 'NX_10_CV_turn': '0.05900', 'NX_10_ctr': '0.81228', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.122815520840339, 'NX_10_ifeat_feat': 0.472}]
[I 230117 18:59:21 utils:138] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.02014', 'CV_turn': '0.03981', 'ctr': '0.78065', 'len_tra': 16.83, 'R_tra': 13.138261541776105, 'ifeat_feat': 0.43672014260249553, 'NX_0_CV': '0.03156', 'NX_0_CV_turn': '0.04073', 'NX_0_ctr': '0.79980', 'NX_0_len_tra': 25.78, 'NX_0_R_tra': 20.618868589603107, 'NX_0_ifeat_feat': 0.48099301784328935, 'NX_10_CV': '0.01563', 'NX_10_CV_turn': '0.05200', 'NX_10_ctr': '0.84009', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.400927335438679, 'NX_10_ifeat_feat': 0.459}]
[I 230117 18:59:51 utils:138] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.01924', 'CV_turn': '0.03895', 'ctr': '0.82859', 'len_tra': 16.43, 'R_tra': 13.613702419525612, 'ifeat_feat': 0.43761412051125986, 'NX_0_CV': '0.03156', 'NX_0_CV_turn': '0.04020', 'NX_0_ctr': '0.77423', 'NX_0_len_tra': 26.12, 'NX_0_R_tra': 20.222813901265173, 'NX_0_ifeat_feat': 0.47588055130168455, 'NX_10_CV': '0.01623', 'NX_10_CV_turn': '0.05400', 'NX_10_ctr': '0.76813', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.681327808398446, 'NX_10_ifeat_feat': 0.46}]
[I 230117 19:00:16 utils:138] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.01924', 'CV_turn': '0.04211', 'ctr': '0.83506', 'len_tra': 15.2, 'R_tra': 12.692942469326914, 'ifeat_feat': 0.4605263157894737, 'NX_0_CV': '0.03006', 'NX_0_CV_turn': '0.03914', 'NX_0_ctr': '0.78461', 'NX_0_len_tra': 25.55, 'NX_0_R_tra': 20.04685366000181, 'NX_0_ifeat_feat': 0.4583170254403131, 'NX_10_CV': '0.01683', 'NX_10_CV_turn': '0.05600', 'NX_10_ctr': '0.81636', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.163575692878767, 'NX_10_ifeat_feat': 0.463}]
[I 230117 19:00:41 utils:138] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.01713', 'CV_turn': '0.03289', 'ctr': '0.79826', 'len_tra': 17.33, 'R_tra': 13.833925802077973, 'ifeat_feat': 0.4598961338718984, 'NX_0_CV': '0.02705', 'NX_0_CV_turn': '0.03444', 'NX_0_ctr': '0.74736', 'NX_0_len_tra': 26.13, 'NX_0_R_tra': 19.52842206553307, 'NX_0_ifeat_feat': 0.46383467278989665, 'NX_10_CV': '0.01353', 'NX_10_CV_turn': '0.04500', 'NX_10_ctr': '0.79319', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.931856252881587, 'NX_10_ifeat_feat': 0.462}]
[I 230117 19:01:05 utils:138] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.01653', 'CV_turn': '0.03395', 'ctr': '0.77864', 'len_tra': 16.2, 'R_tra': 12.613930561060036, 'ifeat_feat': 0.4820987654320988, 'NX_0_CV': '0.02495', 'NX_0_CV_turn': '0.03395', 'NX_0_ctr': '0.76233', 'NX_0_len_tra': 24.45, 'NX_0_R_tra': 18.63907301473665, 'NX_0_ifeat_feat': 0.49611451942740287, 'NX_10_CV': '0.01563', 'NX_10_CV_turn': '0.05200', 'NX_10_ctr': '0.77556', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.755565456926913, 'NX_10_ifeat_feat': 0.481}]
[I 230117 19:01:31 utils:138] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.01593', 'CV_turn': '0.03250', 'ctr': '0.74186', 'len_tra': 16.31, 'R_tra': 12.099680697497238, 'ifeat_feat': 0.3942366646229307, 'NX_0_CV': '0.02405', 'NX_0_CV_turn': '0.03053', 'NX_0_ctr': '0.75959', 'NX_0_len_tra': 26.2, 'NX_0_R_tra': 19.90129648347391, 'NX_0_ifeat_feat': 0.47480916030534354, 'NX_10_CV': '0.01413', 'NX_10_CV_turn': '0.04700', 'NX_10_ctr': '0.74414', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.441352680888302, 'NX_10_ifeat_feat': 0.436}]
[I 230117 19:01:57 utils:138] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.01683', 'CV_turn': '0.03207', 'ctr': '0.81947', 'len_tra': 17.46, 'R_tra': 14.30791407991163, 'ifeat_feat': 0.4742268041237113, 'NX_0_CV': '0.02344', 'NX_0_CV_turn': '0.03006', 'NX_0_ctr': '0.78465', 'NX_0_len_tra': 25.95, 'NX_0_R_tra': 20.361687180282317, 'NX_0_ifeat_feat': 0.4820809248554913, 'NX_10_CV': '0.01713', 'NX_10_CV_turn': '0.05700', 'NX_10_ctr': '0.82142', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.214187240580218, 'NX_10_ifeat_feat': 0.484}]
[I 230117 19:02:23 utils:138] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.01473', 'CV_turn': '0.03105', 'ctr': '0.69136', 'len_tra': 15.78, 'R_tra': 10.90958865730139, 'ifeat_feat': 0.42268694550063374, 'NX_0_CV': '0.02254', 'NX_0_CV_turn': '0.03090', 'NX_0_ctr': '0.76822', 'NX_0_len_tra': 24.27, 'NX_0_R_tra': 18.644730025859317, 'NX_0_ifeat_feat': 0.4742480428512567, 'NX_10_CV': '0.01353', 'NX_10_CV_turn': '0.04500', 'NX_10_ctr': '0.69252', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 6.925157661127231, 'NX_10_ifeat_feat': 0.43}]
[I 230117 19:02:49 utils:138] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.01353', 'CV_turn': '0.02641', 'ctr': '0.76920', 'len_tra': 17.04, 'R_tra': 13.107162006122879, 'ifeat_feat': 0.42194835680751175, 'NX_0_CV': '0.02585', 'NX_0_CV_turn': '0.03227', 'NX_0_ctr': '0.77520', 'NX_0_len_tra': 26.65, 'NX_0_R_tra': 20.65914989804908, 'NX_0_ifeat_feat': 0.4960600375234522, 'NX_10_CV': '0.01172', 'NX_10_CV_turn': '0.03900', 'NX_10_ctr': '0.76048', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.604837528682403, 'NX_10_ifeat_feat': 0.428}]
