[I 230117 15:04:05 policy_utils:47] {
      "env": "KuaiRand-v0",
      "user_model_name": "DeepFM",
      "model_name": "A2C_with_emb",
      "seed": 0,
      "cuda": 0,
      "is_userinfo": false,
      "cpu": false,
      "is_save": false,
      "use_userEmbedding": false,
      "exploration_noise": false,
      "eps": 0.1,
      "freeze_emb": false,
      "reward_handle": "cat",
      "which_tracker": "avg",
      "embedding_dim": 32,
      "window_size": 3,
      "filter_sizes": [
        2,
        3,
        4
      ],
      "num_filters": 16,
      "dropout_rate": 0.1,
      "num_heads": 1,
      "version": "v1",
      "tau": 0,
      "gamma_exposure": 10,
      "lambda_variance": 0.01,
      "lambda_entropy": 0.0,
      "use_exposure_intervention": false,
      "buffer_size": 100000,
      "lr": 0.001,
      "epoch": 200,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "reward_threshold": null,
      "gamma": 0.9,
      "step_per_epoch": 100000,
      "repeat_per_collect": 1,
      "logdir": "log",
      "vf_coef": 0.5,
      "ent_coef": 0.0,
      "max_grad_norm": null,
      "gae_lambda": 1.0,
      "rew_norm": false,
      "read_message": "pointneg",
      "message": "MOPO-leave7",
      "is_binarize": true,
      "need_transform": false,
      "entropy_window": [
        1,
        2
      ],
      "rating_threshold": 1,
      "yfeat": "is_click",
      "leave_threshold": 0.0,
      "num_leave_compute": 7,
      "max_turn": 30,
      "force_length": 10,
      "top_rate": 0.8,
      "hostname": "LDS-8"
    }
[I 230117 15:09:11 utils:138] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.08361', 'CV_turn': '0.95338', 'ctr': '0.21938', 'len_tra': 6.65, 'R_tra': 1.4588521885126828, 'ifeat_feat': 0.6827067669172933, 'NX_0_CV': '0.08176', 'NX_0_CV_turn': '0.94801', 'NX_0_ctr': '0.24340', 'NX_0_len_tra': 6.54, 'NX_0_R_tra': 1.5918088568141684, 'NX_0_ifeat_feat': 0.6804281345565749, 'NX_10_CV': '0.12172', 'NX_10_CV_turn': '0.92300', 'NX_10_ctr': '0.22848', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 2.2847982013976433, 'NX_10_ifeat_feat': 0.671}]
[I 230117 15:09:56 utils:138] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.01200', 'CV_turn': '0.11592', 'ctr': '0.46829', 'len_tra': 7.85, 'R_tra': 3.6760634495317936, 'ifeat_feat': 0.5082802547770701, 'NX_0_CV': '0.01793', 'NX_0_CV_turn': '0.11093', 'NX_0_ctr': '0.46753', 'NX_0_len_tra': 12.26, 'NX_0_R_tra': 5.731933185774833, 'NX_0_ifeat_feat': 0.5024469820554649, 'NX_10_CV': '0.01464', 'NX_10_CV_turn': '0.11100', 'NX_10_ctr': '0.46423', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.642280041100458, 'NX_10_ifeat_feat': 0.489}]
[I 230117 15:10:41 utils:138] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.00870', 'CV_turn': '0.08594', 'ctr': '0.43943', 'len_tra': 7.68, 'R_tra': 3.3748075253237038, 'ifeat_feat': 0.3723958333333333, 'NX_0_CV': '0.01398', 'NX_0_CV_turn': '0.05558', 'NX_0_ctr': '0.46137', 'NX_0_len_tra': 19.07, 'NX_0_R_tra': 8.798396849483252, 'NX_0_ifeat_feat': 0.39486103828002095, 'NX_10_CV': '0.01029', 'NX_10_CV_turn': '0.07800', 'NX_10_ctr': '0.46521', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.6521309376135465, 'NX_10_ifeat_feat': 0.409}]
[I 230117 15:11:26 utils:138] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.00844', 'CV_turn': '0.07323', 'ctr': '0.48121', 'len_tra': 8.74, 'R_tra': 4.205749394185841, 'ifeat_feat': 0.4096109839816934, 'NX_0_CV': '0.01424', 'NX_0_CV_turn': '0.05405', 'NX_0_ctr': '0.44259', 'NX_0_len_tra': 19.98, 'NX_0_R_tra': 8.842944024242462, 'NX_0_ifeat_feat': 0.4134134134134134, 'NX_10_CV': '0.00897', 'NX_10_CV_turn': '0.06800', 'NX_10_ctr': '0.43652', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.365205071372912, 'NX_10_ifeat_feat': 0.412}]
[I 230117 15:12:09 utils:138] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.00659', 'CV_turn': '0.06684', 'ctr': '0.50506', 'len_tra': 7.48, 'R_tra': 3.7778521924465895, 'ifeat_feat': 0.43716577540106955, 'NX_0_CV': '0.01226', 'NX_0_CV_turn': '0.05496', 'NX_0_ctr': '0.46782', 'NX_0_len_tra': 16.92, 'NX_0_R_tra': 7.9154827165137975, 'NX_0_ifeat_feat': 0.46158392434988177, 'NX_10_CV': '0.00884', 'NX_10_CV_turn': '0.06700', 'NX_10_ctr': '0.45964', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.596420136764646, 'NX_10_ifeat_feat': 0.427}]
[I 230117 15:13:00 utils:138] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.00818', 'CV_turn': '0.08052', 'ctr': '0.48372', 'len_tra': 7.7, 'R_tra': 3.724638351071626, 'ifeat_feat': 0.4038961038961039, 'NX_0_CV': '0.01200', 'NX_0_CV_turn': '0.05104', 'NX_0_ctr': '0.41966', 'NX_0_len_tra': 17.83, 'NX_0_R_tra': 7.482566645345651, 'NX_0_ifeat_feat': 0.4111048794167134, 'NX_10_CV': '0.00923', 'NX_10_CV_turn': '0.07000', 'NX_10_ctr': '0.44145', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.414513777326793, 'NX_10_ifeat_feat': 0.389}]
[I 230117 15:13:43 utils:138] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.00778', 'CV_turn': '0.07421', 'ctr': '0.47169', 'len_tra': 7.95, 'R_tra': 3.7498972149565817, 'ifeat_feat': 0.48553459119496856, 'NX_0_CV': '0.01174', 'NX_0_CV_turn': '0.04573', 'NX_0_ctr': '0.47938', 'NX_0_len_tra': 19.46, 'NX_0_R_tra': 9.32881753699854, 'NX_0_ifeat_feat': 0.4033915724563207, 'NX_10_CV': '0.00725', 'NX_10_CV_turn': '0.05500', 'NX_10_ctr': '0.43743', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.374306959640235, 'NX_10_ifeat_feat': 0.433}]
[I 230117 15:14:25 utils:138] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.00725', 'CV_turn': '0.05335', 'ctr': '0.46617', 'len_tra': 10.31, 'R_tra': 4.806260540094226, 'ifeat_feat': 0.44034917555771097, 'NX_0_CV': '0.00989', 'NX_0_CV_turn': '0.03519', 'NX_0_ctr': '0.47151', 'NX_0_len_tra': 21.31, 'NX_0_R_tra': 10.047788982968777, 'NX_0_ifeat_feat': 0.3993430314406382, 'NX_10_CV': '0.00804', 'NX_10_CV_turn': '0.06100', 'NX_10_ctr': '0.46359', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.635930785071105, 'NX_10_ifeat_feat': 0.436}]
[I 230117 15:15:06 utils:138] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.00752', 'CV_turn': '0.06216', 'ctr': '0.46067', 'len_tra': 9.17, 'R_tra': 4.224346242789179, 'ifeat_feat': 0.4798255179934569, 'NX_0_CV': '0.00910', 'NX_0_CV_turn': '0.03029', 'NX_0_ctr': '0.46838', 'NX_0_len_tra': 22.78, 'NX_0_R_tra': 10.669697582600639, 'NX_0_ifeat_feat': 0.3762071992976295, 'NX_10_CV': '0.00633', 'NX_10_CV_turn': '0.04800', 'NX_10_ctr': '0.46918', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.691791307795793, 'NX_10_ifeat_feat': 0.412}]
[I 230117 15:15:46 utils:138] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.00673', 'CV_turn': '0.05568', 'ctr': '0.48782', 'len_tra': 9.16, 'R_tra': 4.468448414802551, 'ifeat_feat': 0.47270742358078605, 'NX_0_CV': '0.00976', 'NX_0_CV_turn': '0.03532', 'NX_0_ctr': '0.45130', 'NX_0_len_tra': 20.95, 'NX_0_R_tra': 9.454680998399853, 'NX_0_ifeat_feat': 0.4066825775656325, 'NX_10_CV': '0.00778', 'NX_10_CV_turn': '0.05900', 'NX_10_ctr': '0.45690', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.568956399923191, 'NX_10_ifeat_feat': 0.42}]
[I 230117 15:16:28 utils:138] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.00646', 'CV_turn': '0.05373', 'ctr': '0.47585', 'len_tra': 9.12, 'R_tra': 4.3397240262106065, 'ifeat_feat': 0.48464912280701755, 'NX_0_CV': '0.00778', 'NX_0_CV_turn': '0.02800', 'NX_0_ctr': '0.45343', 'NX_0_len_tra': 21.07, 'NX_0_R_tra': 9.5537492338242, 'NX_0_ifeat_feat': 0.39345040341718085, 'NX_10_CV': '0.00752', 'NX_10_CV_turn': '0.05700', 'NX_10_ctr': '0.45865', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.586454275082797, 'NX_10_ifeat_feat': 0.408}]
[I 230117 15:17:09 utils:138] Epoch: [12], Info: [{'num_test': 100, 'CV': '0.00567', 'CV_turn': '0.04710', 'ctr': '0.49303', 'len_tra': 9.13, 'R_tra': 4.5013842297717925, 'ifeat_feat': 0.45673603504928806, 'NX_0_CV': '0.00831', 'NX_0_CV_turn': '0.02829', 'NX_0_ctr': '0.46044', 'NX_0_len_tra': 22.27, 'NX_0_R_tra': 10.25395396293141, 'NX_0_ifeat_feat': 0.3924562191288729, 'NX_10_CV': '0.00646', 'NX_10_CV_turn': '0.04900', 'NX_10_ctr': '0.49187', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.918676220327615, 'NX_10_ifeat_feat': 0.411}]
[I 230117 15:17:50 utils:138] Epoch: [13], Info: [{'num_test': 100, 'CV': '0.00593', 'CV_turn': '0.04940', 'ctr': '0.48437', 'len_tra': 9.11, 'R_tra': 4.412583114691079, 'ifeat_feat': 0.4829857299670692, 'NX_0_CV': '0.00752', 'NX_0_CV_turn': '0.02499', 'NX_0_ctr': '0.43691', 'NX_0_len_tra': 22.81, 'NX_0_R_tra': 9.965874417526647, 'NX_0_ifeat_feat': 0.38667251205611575, 'NX_10_CV': '0.00673', 'NX_10_CV_turn': '0.05100', 'NX_10_ctr': '0.46932', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.693190605193377, 'NX_10_ifeat_feat': 0.412}]
[I 230117 15:18:31 utils:138] Epoch: [14], Info: [{'num_test': 100, 'CV': '0.00567', 'CV_turn': '0.04401', 'ctr': '0.50524', 'len_tra': 9.77, 'R_tra': 4.936194770373404, 'ifeat_feat': 0.43807574206755373, 'NX_0_CV': '0.00725', 'NX_0_CV_turn': '0.02233', 'NX_0_ctr': '0.46533', 'NX_0_len_tra': 24.63, 'NX_0_R_tra': 11.461038654674775, 'NX_0_ifeat_feat': 0.3609419407226959, 'NX_10_CV': '0.00567', 'NX_10_CV_turn': '0.04300', 'NX_10_ctr': '0.48621', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.862144958265126, 'NX_10_ifeat_feat': 0.388}]
[I 230117 15:19:18 utils:138] Epoch: [15], Info: [{'num_test': 100, 'CV': '0.00514', 'CV_turn': '0.03707', 'ctr': '0.50937', 'len_tra': 10.52, 'R_tra': 5.358610706850886, 'ifeat_feat': 0.44011406844106465, 'NX_0_CV': '0.00659', 'NX_0_CV_turn': '0.02128', 'NX_0_ctr': '0.49798', 'NX_0_len_tra': 23.5, 'NX_0_R_tra': 11.702432170324027, 'NX_0_ifeat_feat': 0.354468085106383, 'NX_10_CV': '0.00607', 'NX_10_CV_turn': '0.04600', 'NX_10_ctr': '0.51250', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 5.125031141946092, 'NX_10_ifeat_feat': 0.37}]
[I 230117 15:20:01 utils:138] Epoch: [16], Info: [{'num_test': 100, 'CV': '0.00514', 'CV_turn': '0.03442', 'ctr': '0.48345', 'len_tra': 11.33, 'R_tra': 5.4774478382850065, 'ifeat_feat': 0.47572815533980584, 'NX_0_CV': '0.00712', 'NX_0_CV_turn': '0.02195', 'NX_0_ctr': '0.45050', 'NX_0_len_tra': 24.6, 'NX_0_R_tra': 11.082316733561456, 'NX_0_ifeat_feat': 0.3597560975609756, 'NX_10_CV': '0.00475', 'NX_10_CV_turn': '0.03600', 'NX_10_ctr': '0.49283', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.92834274891764, 'NX_10_ifeat_feat': 0.395}]
[I 230117 15:20:42 utils:138] Epoch: [17], Info: [{'num_test': 100, 'CV': '0.00488', 'CV_turn': '0.03507', 'ctr': '0.48577', 'len_tra': 10.55, 'R_tra': 5.124886207263916, 'ifeat_feat': 0.409478672985782, 'NX_0_CV': '0.00646', 'NX_0_CV_turn': '0.01988', 'NX_0_ctr': '0.45209', 'NX_0_len_tra': 24.65, 'NX_0_R_tra': 11.144129551444202, 'NX_0_ifeat_feat': 0.33874239350912777, 'NX_10_CV': '0.00501', 'NX_10_CV_turn': '0.03800', 'NX_10_ctr': '0.48712', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.871227662041783, 'NX_10_ifeat_feat': 0.339}]
[I 230117 15:21:23 utils:138] Epoch: [18], Info: [{'num_test': 100, 'CV': '0.00475', 'CV_turn': '0.03189', 'ctr': '0.47529', 'len_tra': 11.29, 'R_tra': 5.365998571384698, 'ifeat_feat': 0.38441098317094774, 'NX_0_CV': '0.00593', 'NX_0_CV_turn': '0.01727', 'NX_0_ctr': '0.44274', 'NX_0_len_tra': 26.06, 'NX_0_R_tra': 11.537805676013232, 'NX_0_ifeat_feat': 0.33346124328472754, 'NX_10_CV': '0.00448', 'NX_10_CV_turn': '0.03400', 'NX_10_ctr': '0.49519', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.951923013366759, 'NX_10_ifeat_feat': 0.341}]
[I 230117 15:22:04 utils:138] Epoch: [19], Info: [{'num_test': 100, 'CV': '0.00488', 'CV_turn': '0.02918', 'ctr': '0.46844', 'len_tra': 12.68, 'R_tra': 5.9397696756385265, 'ifeat_feat': 0.37066246056782337, 'NX_0_CV': '0.00607', 'NX_0_CV_turn': '0.01776', 'NX_0_ctr': '0.42546', 'NX_0_len_tra': 25.9, 'NX_0_R_tra': 11.019481775276363, 'NX_0_ifeat_feat': 0.3274131274131274, 'NX_10_CV': '0.00462', 'NX_10_CV_turn': '0.03500', 'NX_10_ctr': '0.47945', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.794478717297316, 'NX_10_ifeat_feat': 0.313}]
