[I 230117 19:59:29 policy_utils:47] {
      "env": "KuaiRand-v0",
      "user_model_name": "DeepFM",
      "model_name": "SQN",
      "seed": 0,
      "cuda": 1,
      "is_userinfo": false,
      "cpu": false,
      "is_save": false,
      "use_userEmbedding": false,
      "exploration_noise": false,
      "eps": 0.1,
      "freeze_emb": false,
      "reward_handle": "cat",
      "which_tracker": "avg",
      "embedding_dim": 32,
      "window_size": 3,
      "filter_sizes": [
        2,
        3,
        4
      ],
      "num_filters": 16,
      "dropout_rate": 0.1,
      "num_heads": 1,
      "version": "v1",
      "tau": 0,
      "gamma_exposure": 10,
      "lambda_variance": 0.05,
      "lambda_entropy": 5,
      "use_exposure_intervention": false,
      "buffer_size": 100000,
      "lr": 0.001,
      "epoch": 200,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "reward_threshold": null,
      "gamma": 0.9,
      "step_per_epoch": 1000,
      "repeat_per_collect": 1,
      "logdir": "log",
      "vf_coef": 0.5,
      "ent_coef": 0.0,
      "max_grad_norm": null,
      "gae_lambda": 1.0,
      "rew_norm": false,
      "read_message": "pointneg",
      "message": "SQN-leave7",
      "is_binarize": true,
      "need_transform": false,
      "entropy_window": [
        1,
        2
      ],
      "rating_threshold": 1,
      "yfeat": "is_click",
      "leave_threshold": 0.0,
      "num_leave_compute": 7,
      "max_turn": 30,
      "force_length": 10,
      "top_rate": 0.8,
      "which_head": "qhead",
      "n_step": 3,
      "target_update_freq": 320,
      "unlikely_action_threshold": 0.6,
      "imitation_logits_penalty": 0.01,
      "eps_test": 0.001,
      "hostname": "LDS-10"
    }
[I 230117 20:05:11 utils:138] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.00092', 'CV_turn': '0.01977', 'ctr': '0.50061', 'len_tra': 3.54, 'R_tra': 1.772158524543047, 'ifeat_feat': 0.4858757062146893, 'NX_0_CV': '0.00119', 'NX_0_CV_turn': '0.01536', 'NX_0_ctr': '0.51061', 'NX_0_len_tra': 5.86, 'NX_0_R_tra': 2.9921700240671636, 'NX_0_ifeat_feat': 0.431740614334471, 'NX_10_CV': '0.00145', 'NX_10_CV_turn': '0.01100', 'NX_10_ctr': '0.48324', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.832361116036773, 'NX_10_ifeat_feat': 0.4}]
[I 230117 20:08:43 utils:138] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.00040', 'CV_turn': '0.00993', 'ctr': '0.45678', 'len_tra': 3.02, 'R_tra': 1.3794898158311844, 'ifeat_feat': 0.9867549668874173, 'NX_0_CV': '0.00171', 'NX_0_CV_turn': '0.01158', 'NX_0_ctr': '0.47290', 'NX_0_len_tra': 11.23, 'NX_0_R_tra': 5.310718352273106, 'NX_0_ifeat_feat': 0.25378450578806766, 'NX_10_CV': '0.00171', 'NX_10_CV_turn': '0.01300', 'NX_10_ctr': '0.46054', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.605367725975811, 'NX_10_ifeat_feat': 0.279}]
[I 230117 20:12:14 utils:138] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.00066', 'CV_turn': '0.01018', 'ctr': '0.41400', 'len_tra': 4.91, 'R_tra': 2.0327385459840297, 'ifeat_feat': 0.5926680244399185, 'NX_0_CV': '0.00303', 'NX_0_CV_turn': '0.01594', 'NX_0_ctr': '0.44637', 'NX_0_len_tra': 14.43, 'NX_0_R_tra': 6.441097137108446, 'NX_0_ifeat_feat': 0.2079002079002079, 'NX_10_CV': '0.00171', 'NX_10_CV_turn': '0.01300', 'NX_10_ctr': '0.38564', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 3.8563824162632225, 'NX_10_ifeat_feat': 0.29}]
[I 230117 20:15:48 utils:138] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.00026', 'CV_turn': '0.00667', 'ctr': '0.45403', 'len_tra': 3.0, 'R_tra': 1.3620814543962478, 'ifeat_feat': 1.0, 'NX_0_CV': '0.00198', 'NX_0_CV_turn': '0.01296', 'NX_0_ctr': '0.38184', 'NX_0_len_tra': 11.57, 'NX_0_R_tra': 4.417915752455592, 'NX_0_ifeat_feat': 0.1815038893690579, 'NX_10_CV': '0.00158', 'NX_10_CV_turn': '0.01200', 'NX_10_ctr': '0.42245', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.2245441765338185, 'NX_10_ifeat_feat': 0.208}]
[I 230117 20:19:22 utils:138] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.00053', 'CV_turn': '0.00820', 'ctr': '0.41772', 'len_tra': 4.88, 'R_tra': 2.0384976282715797, 'ifeat_feat': 0.38524590163934425, 'NX_0_CV': '0.00158', 'NX_0_CV_turn': '0.01402', 'NX_0_ctr': '0.37309', 'NX_0_len_tra': 8.56, 'NX_0_R_tra': 3.193628867678344, 'NX_0_ifeat_feat': 0.2102803738317757, 'NX_10_CV': '0.00171', 'NX_10_CV_turn': '0.01300', 'NX_10_ctr': '0.36943', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 3.694293698705733, 'NX_10_ifeat_feat': 0.183}]
[I 230117 20:22:56 utils:138] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.00053', 'CV_turn': '0.00990', 'ctr': '0.29948', 'len_tra': 4.04, 'R_tra': 1.2099188286159188, 'ifeat_feat': 0.009900990099009901, 'NX_0_CV': '0.00145', 'NX_0_CV_turn': '0.01777', 'NX_0_ctr': '0.31337', 'NX_0_len_tra': 6.19, 'NX_0_R_tra': 1.939757062420249, 'NX_0_ifeat_feat': 0.004846526655896607, 'NX_10_CV': '0.00171', 'NX_10_CV_turn': '0.01300', 'NX_10_ctr': '0.34117', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 3.4116702198795976, 'NX_10_ifeat_feat': 0.056}]
[I 230117 20:26:32 utils:138] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.00026', 'CV_turn': '0.00667', 'ctr': '0.35131', 'len_tra': 3.0, 'R_tra': 1.0539447025209665, 'ifeat_feat': 0.3333333333333333, 'NX_0_CV': '0.00066', 'NX_0_CV_turn': '0.01190', 'NX_0_ctr': '0.34386', 'NX_0_len_tra': 4.2, 'NX_0_R_tra': 1.4442095201462508, 'NX_0_ifeat_feat': 0.23809523809523808, 'NX_10_CV': '0.00158', 'NX_10_CV_turn': '0.01200', 'NX_10_ctr': '0.34716', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 3.471607740763575, 'NX_10_ifeat_feat': 0.1}]
[I 230117 20:30:03 utils:138] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.00026', 'CV_turn': '0.00667', 'ctr': '0.34837', 'len_tra': 3.0, 'R_tra': 1.0450973429530859, 'ifeat_feat': 0.3333333333333333, 'NX_0_CV': '0.00053', 'NX_0_CV_turn': '0.01000', 'NX_0_ctr': '0.34534', 'NX_0_len_tra': 4.0, 'NX_0_R_tra': 1.3813618802279235, 'NX_0_ifeat_feat': 0.25, 'NX_10_CV': '0.00171', 'NX_10_CV_turn': '0.01300', 'NX_10_ctr': '0.29057', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 2.9056680686259644, 'NX_10_ifeat_feat': 0.1}]
[I 230117 20:33:30 utils:138] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.00040', 'CV_turn': '0.00862', 'ctr': '0.35471', 'len_tra': 3.48, 'R_tra': 1.234399387165904, 'ifeat_feat': 0.28735632183908044, 'NX_0_CV': '0.00079', 'NX_0_CV_turn': '0.01200', 'NX_0_ctr': '0.36749', 'NX_0_len_tra': 5.0, 'NX_0_R_tra': 1.837435786575079, 'NX_0_ifeat_feat': 0.2, 'NX_10_CV': '0.00251', 'NX_10_CV_turn': '0.01900', 'NX_10_ctr': '0.30737', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 3.073732518637553, 'NX_10_ifeat_feat': 0.107}]
[I 230117 20:36:57 utils:138] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.00026', 'CV_turn': '0.00667', 'ctr': '0.35069', 'len_tra': 3.0, 'R_tra': 1.0520579025894403, 'ifeat_feat': 0.3333333333333333, 'NX_0_CV': '0.00066', 'NX_0_CV_turn': '0.01168', 'NX_0_ctr': '0.37169', 'NX_0_len_tra': 4.28, 'NX_0_R_tra': 1.5908452919870615, 'NX_0_ifeat_feat': 0.2336448598130841, 'NX_10_CV': '0.00198', 'NX_10_CV_turn': '0.01500', 'NX_10_ctr': '0.29110', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 2.910951635646634, 'NX_10_ifeat_feat': 0.199}]
[I 230117 20:40:26 utils:138] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.00040', 'CV_turn': '0.01000', 'ctr': '0.33793', 'len_tra': 3.0, 'R_tra': 1.0137814151495694, 'ifeat_feat': 0.3333333333333333, 'NX_0_CV': '0.00053', 'NX_0_CV_turn': '0.01311', 'NX_0_ctr': '0.32606', 'NX_0_len_tra': 3.05, 'NX_0_R_tra': 0.9944681223481894, 'NX_0_ifeat_feat': 0.32786885245901637, 'NX_10_CV': '0.00185', 'NX_10_CV_turn': '0.01400', 'NX_10_ctr': '0.24779', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 2.477908571748994, 'NX_10_ifeat_feat': 0.199}]
